epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.5719,1.54416,2.33268,1.03646,0.96798,0.66286,0.90228,0.54011,1.06412,16.6076,0.82613,0.00066087,0.00066087,0.00066087
2,56.0601,1.42483,1.4069,1.00558,0.903,0.87543,0.93633,0.59747,1.05451,5.5355,0.862,0.00132313,0.00132313,0.00132313
3,69.0215,1.36459,1.11214,0.98801,0.91015,0.83771,0.89993,0.57893,1.0546,7.68151,0.84055,0.00198097,0.00198097,0.00198097
4,81.8266,1.31967,0.93478,0.96468,0.95079,0.88323,0.94275,0.60877,1.04853,3.19023,0.84484,0.0019801,0.0019801,0.0019801
5,94.6055,1.27459,0.89071,0.97609,0.93794,0.89143,0.95237,0.5948,1.06303,2.51323,0.84338,0.00197347,0.00197347,0.00197347
6,107.564,1.28022,0.84559,0.96863,0.90589,0.83086,0.92344,0.61693,1.0138,3.7157,0.83032,0.00196683,0.00196683,0.00196683
7,120.345,1.22124,0.79148,0.95687,0.91312,0.88,0.93708,0.60605,1.03958,2.92216,0.8313,0.0019602,0.0019602,0.0019602
8,132.967,1.1917,0.75571,0.94176,0.92747,0.89146,0.95838,0.56824,1.17155,1.70764,0.85528,0.00195357,0.00195357,0.00195357
9,145.535,1.22418,0.74582,0.94512,0.94726,0.92368,0.96712,0.66312,0.95425,1.72452,0.81936,0.00194693,0.00194693,0.00194693
10,158.383,1.16732,0.71339,0.92926,0.94659,0.90857,0.96491,0.66882,0.93272,2.21578,0.8096,0.0019403,0.0019403,0.0019403
11,170.938,1.16383,0.72812,0.93229,0.94279,0.92288,0.97315,0.68588,0.90668,1.0589,0.79842,0.00193367,0.00193367,0.00193367
12,183.501,1.1534,0.70338,0.92454,0.93579,0.91611,0.96469,0.67521,0.9134,2.23429,0.80283,0.00192703,0.00192703,0.00192703
13,196.338,1.1473,0.67975,0.92395,0.95356,0.90171,0.96031,0.63264,0.99764,2.0797,0.81402,0.0019204,0.0019204,0.0019204
14,208.919,1.12813,0.68567,0.93054,0.93,0.91101,0.94902,0.58046,1.09972,6.07783,0.83784,0.00191377,0.00191377,0.00191377
15,221.551,1.14773,0.67806,0.9227,0.95929,0.91573,0.96799,0.68249,0.90226,0.8918,0.79595,0.00190713,0.00190713,0.00190713
16,234.316,1.10597,0.6588,0.91188,0.9528,0.92273,0.97374,0.70252,0.89359,2.2516,0.79634,0.0019005,0.0019005,0.0019005
17,247.01,1.09837,0.65398,0.91901,0.96815,0.93791,0.97771,0.69448,0.89253,2.62259,0.79311,0.00189387,0.00189387,0.00189387
18,259.717,1.1176,0.64764,0.92092,0.95243,0.91532,0.96723,0.69803,0.89103,1.41111,0.79748,0.00188723,0.00188723,0.00188723
19,272.334,1.08302,0.62327,0.91207,0.96153,0.93029,0.98037,0.68118,0.91008,2.56235,0.79008,0.0018806,0.0018806,0.0018806
20,285.152,1.08549,0.6295,0.91169,0.95587,0.94071,0.97603,0.70578,0.85662,3.2647,0.78758,0.00187397,0.00187397,0.00187397
21,297.826,1.06328,0.61293,0.90952,0.95395,0.93143,0.97061,0.69611,0.88848,1.00363,0.7832,0.00186733,0.00186733,0.00186733
22,310.431,1.08158,0.62097,0.90191,0.95541,0.94171,0.97644,0.70909,0.86908,1.95006,0.78915,0.0018607,0.0018607,0.0018607
23,323.204,1.07576,0.60488,0.90937,0.97596,0.94286,0.98277,0.72083,0.83626,3.09053,0.77756,0.00185407,0.00185407,0.00185407
24,335.853,1.05191,0.6034,0.89791,0.96273,0.93257,0.9741,0.71668,0.85048,0.92404,0.79035,0.00184743,0.00184743,0.00184743
25,348.699,1.07163,0.61241,0.90382,0.97377,0.9335,0.98002,0.71021,0.86675,1.58513,0.79427,0.0018408,0.0018408,0.0018408
26,361.347,1.04075,0.59622,0.90295,0.97309,0.91886,0.97727,0.71824,0.84909,1.74867,0.78577,0.00183417,0.00183417,0.00183417
27,374.047,1.02494,0.58372,0.89753,0.96244,0.92914,0.97705,0.72106,0.85322,1.52941,0.78156,0.00182753,0.00182753,0.00182753
28,386.876,1.03583,0.60838,0.90203,0.9522,0.93486,0.97766,0.71041,0.86808,1.277,0.78316,0.0018209,0.0018209,0.0018209
29,399.424,1.04044,0.60457,0.90018,0.96287,0.94832,0.98223,0.73042,0.8392,1.64521,0.78584,0.00181427,0.00181427,0.00181427
30,412.325,1.01758,0.58315,0.89354,0.95923,0.94123,0.97855,0.72705,0.841,1.97572,0.78492,0.00180763,0.00180763,0.00180763
31,425.038,1.01871,0.58978,0.89267,0.95536,0.92942,0.97516,0.7286,0.8455,1.20669,0.77703,0.001801,0.001801,0.001801
32,437.882,1.0186,0.5778,0.89089,0.96447,0.93061,0.98292,0.7357,0.81142,2.13553,0.76593,0.00179437,0.00179437,0.00179437
33,450.62,1.01206,0.55725,0.89432,0.9613,0.90171,0.95648,0.67305,0.898,1.829,0.78925,0.00178773,0.00178773,0.00178773
34,463.376,0.98508,0.5591,0.88644,0.95877,0.94971,0.98369,0.73657,0.81509,1.75915,0.77001,0.0017811,0.0017811,0.0017811
35,476.064,1.01066,0.57615,0.89025,0.96345,0.93392,0.97921,0.73995,0.80711,0.70513,0.77731,0.00177447,0.00177447,0.00177447
36,488.776,1.0085,0.56102,0.88455,0.9616,0.94439,0.97948,0.7388,0.80862,1.13824,0.77642,0.00176783,0.00176783,0.00176783
37,501.552,0.97815,0.54374,0.88049,0.97302,0.94792,0.98231,0.7372,0.81543,1.56675,0.78207,0.0017612,0.0017612,0.0017612
38,514.16,0.98864,0.5449,0.88837,0.96142,0.91129,0.97134,0.68497,0.92848,0.90843,0.79218,0.00175457,0.00175457,0.00175457
39,526.796,0.98813,0.5457,0.89189,0.97048,0.92343,0.98135,0.7271,0.82479,1.0764,0.77348,0.00174793,0.00174793,0.00174793
40,539.659,0.97196,0.53803,0.87961,0.96287,0.94286,0.98003,0.72828,0.81977,1.80249,0.77034,0.0017413,0.0017413,0.0017413
41,552.417,0.98467,0.55395,0.8797,0.9669,0.94171,0.97999,0.73899,0.82168,0.88647,0.77161,0.00173467,0.00173467,0.00173467
42,564.984,0.96572,0.54142,0.87963,0.97337,0.94057,0.97823,0.73783,0.82075,0.84607,0.77705,0.00172803,0.00172803,0.00172803
43,577.618,0.97265,0.53623,0.87605,0.96506,0.94171,0.98245,0.75026,0.78339,1.42772,0.76695,0.0017214,0.0017214,0.0017214
44,590.572,0.98136,0.54325,0.88465,0.97805,0.93714,0.98161,0.73516,0.82664,1.81498,0.77225,0.00171477,0.00171477,0.00171477
45,603.356,0.95812,0.53813,0.87744,0.97409,0.94531,0.97902,0.73606,0.81378,1.90934,0.77641,0.00170813,0.00170813,0.00170813
46,616.142,0.96572,0.53674,0.87635,0.9751,0.93991,0.98337,0.75496,0.77561,0.99535,0.75925,0.0017015,0.0017015,0.0017015
47,628.624,0.95665,0.53121,0.8787,0.96199,0.95445,0.98213,0.74144,0.80824,0.64518,0.76866,0.00169487,0.00169487,0.00169487
48,641.184,0.94215,0.51044,0.87436,0.954,0.94629,0.9848,0.74633,0.81823,1.34958,0.77461,0.00168823,0.00168823,0.00168823
49,653.988,0.95547,0.52386,0.87924,0.97403,0.94312,0.9834,0.76219,0.77073,1.82658,0.76158,0.0016816,0.0016816,0.0016816
50,666.685,0.94734,0.51886,0.87655,0.97728,0.93408,0.98587,0.76042,0.78221,0.92045,0.76962,0.00167497,0.00167497,0.00167497
51,679.265,0.95356,0.51923,0.87236,0.97109,0.95429,0.98775,0.7568,0.78136,1.96733,0.76223,0.00166833,0.00166833,0.00166833
52,692.195,0.935,0.50524,0.87353,0.96545,0.95797,0.98232,0.7571,0.76981,1.0231,0.76614,0.0016617,0.0016617,0.0016617
53,704.89,0.91912,0.49777,0.86688,0.98331,0.94259,0.98725,0.76784,0.77778,0.657,0.76662,0.00165507,0.00165507,0.00165507
54,717.621,0.92334,0.5057,0.87183,0.96973,0.95657,0.98715,0.75421,0.78902,1.6483,0.76532,0.00164843,0.00164843,0.00164843
55,730.271,0.94953,0.51064,0.87298,0.97924,0.94057,0.98489,0.75922,0.7872,0.83657,0.76811,0.0016418,0.0016418,0.0016418
56,742.833,0.90661,0.50085,0.86651,0.97835,0.92951,0.98307,0.74163,0.82319,1.059,0.77448,0.00163517,0.00163517,0.00163517
57,755.669,0.92238,0.49994,0.86883,0.96733,0.94755,0.98482,0.76063,0.77665,0.78487,0.76457,0.00162853,0.00162853,0.00162853
58,768.511,0.9242,0.51401,0.87201,0.97538,0.95094,0.98803,0.76129,0.78032,0.91043,0.76703,0.0016219,0.0016219,0.0016219
59,781.28,0.95165,0.51648,0.87562,0.95837,0.94709,0.98417,0.75452,0.79148,1.11408,0.76449,0.00161527,0.00161527,0.00161527
60,794.183,0.936,0.50644,0.87148,0.96738,0.949,0.98362,0.75308,0.79321,1.02548,0.76716,0.00160863,0.00160863,0.00160863
61,806.614,0.91548,0.4931,0.86926,0.97313,0.952,0.98433,0.76304,0.7755,1.23438,0.76154,0.001602,0.001602,0.001602
62,819.35,0.91977,0.50433,0.86649,0.97297,0.93943,0.98409,0.75926,0.76208,1.02121,0.75582,0.00159537,0.00159537,0.00159537
63,832.182,0.92345,0.50455,0.86669,0.96632,0.94286,0.98669,0.75483,0.77056,1.47744,0.76082,0.00158873,0.00158873,0.00158873
64,844.796,0.91216,0.49365,0.86147,0.96335,0.952,0.98436,0.75594,0.78235,0.75559,0.76565,0.0015821,0.0015821,0.0015821
65,857.578,0.90849,0.49809,0.86453,0.95371,0.95886,0.98726,0.73619,0.83769,2.66179,0.77495,0.00157547,0.00157547,0.00157547
66,870.263,0.90009,0.48634,0.86353,0.97225,0.96111,0.987,0.76014,0.78151,1.8412,0.76029,0.00156883,0.00156883,0.00156883
67,882.91,0.93736,0.50558,0.8725,0.9763,0.94158,0.98658,0.75906,0.77688,0.60034,0.763,0.0015622,0.0015622,0.0015622
68,895.719,0.91252,0.49338,0.86913,0.98004,0.94971,0.98617,0.76467,0.76778,1.24567,0.75973,0.00155557,0.00155557,0.00155557
69,908.463,0.89883,0.48694,0.8672,0.97398,0.95543,0.98617,0.7727,0.74853,0.6154,0.76169,0.00154893,0.00154893,0.00154893
70,921.302,0.88381,0.48137,0.86004,0.97198,0.95152,0.98765,0.7601,0.78428,1.15078,0.76056,0.0015423,0.0015423,0.0015423
71,934.002,0.91441,0.48621,0.86245,0.97969,0.94971,0.98646,0.76991,0.76068,0.7478,0.75541,0.00153567,0.00153567,0.00153567
72,946.92,0.92328,0.5002,0.86691,0.97623,0.93856,0.98568,0.75762,0.78147,0.48233,0.76113,0.00152903,0.00152903,0.00152903
73,959.527,0.89657,0.48319,0.86204,0.97833,0.95086,0.98713,0.76739,0.75881,0.48949,0.75941,0.0015224,0.0015224,0.0015224
74,972.247,0.8944,0.47997,0.86335,0.965,0.94743,0.98811,0.7697,0.76515,0.6819,0.75824,0.00151577,0.00151577,0.00151577
75,984.845,0.8924,0.48506,0.86175,0.9716,0.94971,0.98724,0.7688,0.75896,0.49622,0.76138,0.00150913,0.00150913,0.00150913
76,997.655,0.89321,0.47962,0.86297,0.96727,0.9457,0.98647,0.76765,0.76562,1.40488,0.75552,0.0015025,0.0015025,0.0015025
77,1010.33,0.89823,0.48291,0.86249,0.9692,0.95543,0.98922,0.77588,0.7509,0.5453,0.75761,0.00149587,0.00149587,0.00149587
78,1023.04,0.89236,0.47674,0.86034,0.97578,0.93943,0.98394,0.77246,0.75884,0.67734,0.76218,0.00148923,0.00148923,0.00148923
79,1035.58,0.88815,0.47806,0.86305,0.96145,0.94857,0.98285,0.77051,0.74813,1.4045,0.75567,0.0014826,0.0014826,0.0014826
80,1048.23,0.87601,0.46067,0.86081,0.97716,0.944,0.98868,0.77241,0.75874,0.86722,0.75504,0.00147597,0.00147597,0.00147597
81,1061.03,0.87271,0.46909,0.85539,0.97861,0.94101,0.98764,0.77612,0.73257,1.2824,0.74904,0.00146933,0.00146933,0.00146933
82,1073.89,0.85924,0.46511,0.85684,0.96363,0.96,0.98608,0.77099,0.75784,0.63396,0.75662,0.0014627,0.0014627,0.0014627
83,1086.35,0.88662,0.46776,0.86011,0.97185,0.95657,0.98847,0.77218,0.74501,0.9066,0.75346,0.00145607,0.00145607,0.00145607
84,1098.9,0.89531,0.48405,0.85994,0.96422,0.95482,0.98655,0.76375,0.7641,0.76434,0.75613,0.00144943,0.00144943,0.00144943
85,1111.43,0.86687,0.46156,0.85421,0.95768,0.95697,0.98558,0.77552,0.74829,0.93382,0.75247,0.0014428,0.0014428,0.0014428
86,1124.14,0.86505,0.45506,0.86182,0.96365,0.95429,0.98715,0.77527,0.73284,0.90211,0.7532,0.00143617,0.00143617,0.00143617
87,1136.94,0.87535,0.46027,0.85719,0.96721,0.952,0.98718,0.7746,0.74678,0.87139,0.75659,0.00142953,0.00142953,0.00142953
88,1149.49,0.86498,0.46015,0.85316,0.96453,0.96353,0.98594,0.77944,0.73247,0.46892,0.75622,0.0014229,0.0014229,0.0014229
89,1162.28,0.86403,0.46537,0.85689,0.98085,0.93657,0.98529,0.77509,0.74057,0.636,0.75589,0.00141627,0.00141627,0.00141627
