epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,562.925,0.90131,0.51129,0.88102,0.97591,0.94743,0.98574,0.77618,0.72984,1.70926,0.75488,0.00172803,0.00172803,0.00172803
43,575.395,0.88884,0.50152,0.8752,0.97192,0.94948,0.98588,0.77946,0.7239,2.10124,0.75375,0.0017214,0.0017214,0.0017214
44,587.828,0.91471,0.51915,0.88364,0.97397,0.94063,0.98293,0.75349,0.79513,1.83652,0.7703,0.00171477,0.00171477,0.00171477
45,600.477,0.88675,0.50704,0.87692,0.96653,0.95722,0.98324,0.77489,0.73987,1.35807,0.76796,0.00170813,0.00170813,0.00170813
46,612.607,0.88864,0.50186,0.87476,0.97307,0.94993,0.98501,0.78216,0.70979,0.62795,0.75044,0.0017015,0.0017015,0.0017015
47,624.949,0.88905,0.50768,0.87879,0.97927,0.94971,0.98549,0.78282,0.72691,1.26961,0.76008,0.00169487,0.00169487,0.00169487
48,637.574,0.86905,0.48236,0.87263,0.97473,0.95429,0.98851,0.7874,0.71685,1.03241,0.76206,0.00168823,0.00168823,0.00168823
49,650.216,0.87894,0.4984,0.87902,0.97394,0.95314,0.98758,0.78866,0.71509,1.38801,0.75248,0.0016816,0.0016816,0.0016816
50,662.897,0.87744,0.49509,0.87614,0.97449,0.936,0.98594,0.79151,0.70997,0.79593,0.75642,0.00167497,0.00167497,0.00167497
51,675.211,0.87249,0.49209,0.86942,0.97704,0.94971,0.98636,0.78164,0.72252,0.90041,0.75932,0.00166833,0.00166833,0.00166833
52,687.869,0.85474,0.47361,0.86983,0.96897,0.96229,0.98671,0.79957,0.70322,1.02236,0.75661,0.0016617,0.0016617,0.0016617
53,700.76,0.84699,0.46772,0.86561,0.9828,0.944,0.98548,0.78409,0.71443,0.99039,0.75111,0.00165507,0.00165507,0.00165507
54,713.524,0.84237,0.47937,0.87063,0.96478,0.95771,0.98552,0.78369,0.71549,1.54611,0.75319,0.00164843,0.00164843,0.00164843
55,726.225,0.86336,0.48361,0.87182,0.9664,0.95312,0.98709,0.80049,0.69966,0.50682,0.75282,0.0016418,0.0016418,0.0016418
56,738.745,0.83648,0.47334,0.86557,0.97252,0.93943,0.98193,0.77137,0.72855,0.46719,0.75824,0.00163517,0.00163517,0.00163517
57,751.453,0.85048,0.47413,0.86917,0.96957,0.94669,0.98597,0.78937,0.70122,0.75913,0.75186,0.00162853,0.00162853,0.00162853
58,764.175,0.84945,0.48379,0.87409,0.9784,0.95086,0.98507,0.78397,0.7171,1.02627,0.75725,0.0016219,0.0016219,0.0016219
59,776.714,0.86748,0.48728,0.87383,0.98317,0.93442,0.98461,0.78058,0.71572,1.23383,0.75039,0.00161527,0.00161527,0.00161527
60,789.539,0.85484,0.47873,0.86952,0.97351,0.94971,0.98506,0.78156,0.71885,1.42053,0.75476,0.00160863,0.00160863,0.00160863
61,802.282,0.83247,0.46742,0.86756,0.95784,0.96067,0.98748,0.77836,0.72495,3.13245,0.75765,0.001602,0.001602,0.001602
62,814.838,0.84861,0.47607,0.87383,0.98335,0.94495,0.98327,0.78959,0.68465,0.71669,0.74351,0.00159537,0.00159537,0.00159537
63,827.678,0.85905,0.48304,0.87197,0.97302,0.94794,0.98191,0.78489,0.69064,1.26892,0.74544,0.00158873,0.00158873,0.00158873
64,840.456,0.84433,0.46745,0.86694,0.97656,0.95216,0.98698,0.79435,0.6902,1.4631,0.74787,0.0015821,0.0015821,0.0015821
65,853.064,0.83756,0.46693,0.86454,0.9675,0.95252,0.98718,0.76742,0.76199,1.58447,0.7677,0.00157547,0.00157547,0.00157547
66,865.611,0.8319,0.45607,0.86456,0.97031,0.96343,0.98654,0.78917,0.70723,1.04142,0.75404,0.00156883,0.00156883,0.00156883
67,877.875,0.84432,0.4707,0.86896,0.97216,0.95657,0.98661,0.79363,0.7002,1.08145,0.75004,0.0015622,0.0015622,0.0015622
68,890.356,0.83761,0.45788,0.86309,0.97892,0.95528,0.98646,0.80062,0.70359,0.78904,0.75799,0.00155557,0.00155557,0.00155557
69,902.945,0.81679,0.45661,0.86321,0.97763,0.95886,0.98649,0.80752,0.68,0.8525,0.74844,0.00154893,0.00154893,0.00154893
70,915.307,0.81309,0.45798,0.86212,0.96636,0.95429,0.98504,0.77676,0.74157,1.1663,0.76054,0.0015423,0.0015423,0.0015423
71,927.977,0.83007,0.45632,0.86128,0.97783,0.95784,0.98742,0.80866,0.6604,1.00032,0.73747,0.00153567,0.00153567,0.00153567
72,940.584,0.83781,0.47092,0.86491,0.97326,0.95663,0.98855,0.78947,0.70307,0.77976,0.74347,0.00152903,0.00152903,0.00152903
73,953.235,0.82747,0.45593,0.859,0.97904,0.96071,0.98561,0.78593,0.70422,0.62308,0.74505,0.0015224,0.0015224,0.0015224
74,966.09,0.81279,0.44479,0.85894,0.97104,0.96,0.98645,0.79604,0.69079,1.42247,0.75213,0.00151577,0.00151577,0.00151577
75,978.825,0.82078,0.45539,0.86062,0.97773,0.96343,0.98586,0.79925,0.69459,0.46762,0.75239,0.00150913,0.00150913,0.00150913
76,991.542,0.816,0.4455,0.85864,0.96356,0.96711,0.98786,0.79801,0.69906,1.13787,0.75124,0.0015025,0.0015025,0.0015025
77,1004.15,0.81401,0.44808,0.85746,0.97882,0.95086,0.98461,0.79915,0.69308,0.81211,0.75097,0.00149587,0.00149587,0.00149587
78,1016.75,0.81301,0.44607,0.85691,0.96425,0.95429,0.98403,0.80068,0.68613,0.7064,0.74969,0.00148923,0.00148923,0.00148923
79,1029.25,0.80806,0.44839,0.85695,0.97404,0.95086,0.98389,0.79979,0.6812,0.94932,0.73926,0.0014826,0.0014826,0.0014826
