epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2146,1.59644,2.28186,1.1132,0.95149,0.776,0.91613,0.48923,1.19381,17.1995,0.88989,0.00066087,0.00066087,0.00066087
2,56.9551,1.32633,1.28539,1.01989,0.93839,0.83553,0.92595,0.63209,0.95501,6.00309,0.85732,0.00132313,0.00132313,0.00132313
3,70.112,1.28261,1.0657,1.02155,0.8647,0.84726,0.89064,0.5646,1.09293,17.2456,0.90545,0.00198097,0.00198097,0.00198097
4,83.1398,1.23044,0.90286,0.99487,0.90404,0.86131,0.93339,0.63008,0.99862,3.84847,0.87725,0.0019801,0.0019801,0.0019801
5,95.9086,1.25358,0.87516,1.00833,0.94079,0.88343,0.95823,0.6907,0.84463,6.37679,0.82149,0.00197347,0.00197347,0.00197347
6,108.824,1.23707,0.82447,0.9949,0.93343,0.8814,0.95126,0.63858,0.96406,2.46005,0.86636,0.00196683,0.00196683,0.00196683
7,121.723,1.17504,0.78673,0.97678,0.92676,0.91111,0.95838,0.69289,0.87202,2.25642,0.846,0.0019602,0.0019602,0.0019602
8,134.512,1.12804,0.72907,0.95635,0.93914,0.91657,0.96535,0.70473,0.8763,2.02726,0.83552,0.00195357,0.00195357,0.00195357
9,147.496,1.11752,0.69883,0.95541,0.9604,0.92571,0.97493,0.67524,0.9326,3.39019,0.83633,0.00194693,0.00194693,0.00194693
10,160.461,1.08241,0.68903,0.94899,0.95515,0.9248,0.97341,0.67524,0.91333,1.78162,0.82776,0.0019403,0.0019403,0.0019403
11,173.26,1.0587,0.68687,0.94425,0.95218,0.91025,0.97179,0.72284,0.82529,4.76745,0.81155,0.00193367,0.00193367,0.00193367
12,186.232,1.04508,0.65736,0.94051,0.93775,0.92343,0.9699,0.71918,0.82961,2.45882,0.8148,0.00192703,0.00192703,0.00192703
13,199.063,1.05041,0.64648,0.92996,0.9596,0.91657,0.97315,0.73661,0.79233,4.66278,0.79995,0.0019204,0.0019204,0.0019204
14,212.094,1.02296,0.64506,0.9394,0.93206,0.944,0.97659,0.72922,0.80404,10.21,0.80349,0.00191377,0.00191377,0.00191377
15,224.973,1.02884,0.62602,0.93082,0.96781,0.92778,0.98045,0.73814,0.8137,2.26606,0.8023,0.00190713,0.00190713,0.00190713
16,237.616,1.01386,0.61761,0.92334,0.97018,0.92914,0.98125,0.70505,0.86245,3.48911,0.81057,0.0019005,0.0019005,0.0019005
17,250.551,0.98042,0.60816,0.92779,0.97274,0.92229,0.97862,0.75007,0.77711,2.09092,0.7992,0.00189387,0.00189387,0.00189387
18,263.529,0.99607,0.60891,0.92318,0.96178,0.94171,0.98034,0.76111,0.76298,1.55643,0.80184,0.00188723,0.00188723,0.00188723
