epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.944,1.5443,2.39874,1.0224,0.96896,0.60639,0.89484,0.54445,1.13589,18.4632,0.85181,0.00066087,0.00066087,0.00066087
2,56.4718,1.41161,1.40571,0.99176,0.89458,0.80571,0.8969,0.50736,1.22112,4.32719,0.8875,0.00132313,0.00132313,0.00132313
3,69.4514,1.38755,1.13354,0.99028,0.89823,0.86746,0.91828,0.57818,1.0833,1.98564,0.86607,0.00198097,0.00198097,0.00198097
4,82.0683,1.33361,0.9602,0.95999,0.92116,0.86286,0.93652,0.59305,1.10002,2.26311,0.84387,0.0019801,0.0019801,0.0019801
5,94.7114,1.32277,0.89818,0.96929,0.909,0.86764,0.93849,0.59581,1.06598,3.00313,0.8325,0.00197347,0.00197347,0.00197347
6,107.608,1.34401,0.86455,0.96602,0.93019,0.8985,0.94881,0.60791,1.05188,4.46026,0.82277,0.00196683,0.00196683,0.00196683
7,120.35,1.27227,0.81974,0.95415,0.92684,0.8832,0.94466,0.59594,1.05793,5.01503,0.8344,0.0019602,0.0019602,0.0019602
8,132.999,1.24891,0.77916,0.94018,0.93216,0.87944,0.94863,0.59778,1.07506,5.35583,0.83722,0.00195357,0.00195357,0.00195357
9,145.81,1.26796,0.77186,0.94485,0.95004,0.89943,0.95749,0.61543,1.02308,4.40861,0.81959,0.00194693,0.00194693,0.00194693
10,158.566,1.21728,0.75573,0.92805,0.95709,0.89221,0.96269,0.62305,1.01855,1.99218,0.81654,0.0019403,0.0019403,0.0019403
11,171.218,1.22595,0.75304,0.9304,0.68142,0.62171,0.664,0.44632,1.08317,55.1395,0.83602,0.00193367,0.00193367,0.00193367
12,183.885,1.19456,0.72846,0.92308,0.9571,0.91784,0.96789,0.65421,0.99514,1.05076,0.8116,0.00192703,0.00192703,0.00192703
13,196.732,1.17881,0.72117,0.91794,0.93882,0.936,0.96768,0.59709,1.09139,1.04709,0.81136,0.0019204,0.0019204,0.0019204
14,209.273,1.16363,0.69633,0.92378,0.95216,0.93029,0.97357,0.65256,0.98883,3.59033,0.80867,0.00191377,0.00191377,0.00191377
15,221.876,1.19067,0.68955,0.91822,0.93219,0.91122,0.95348,0.64319,0.96175,3.05225,0.79777,0.00190713,0.00190713,0.00190713
16,234.492,1.15345,0.67167,0.91157,0.95466,0.92229,0.96522,0.68192,0.95072,1.66759,0.80435,0.0019005,0.0019005,0.0019005
17,247.236,1.13883,0.66459,0.91371,0.95752,0.92748,0.97034,0.6692,0.9486,1.7787,0.80134,0.00189387,0.00189387,0.00189387
18,259.941,1.14483,0.66963,0.91508,0.9493,0.92457,0.96618,0.6722,0.9394,1.44818,0.81569,0.00188723,0.00188723,0.00188723
19,272.505,1.14856,0.64875,0.91126,0.94408,0.9262,0.96875,0.67901,0.94086,0.76483,0.79556,0.0018806,0.0018806,0.0018806
20,284.954,1.12829,0.63588,0.9037,0.95787,0.93547,0.97274,0.67931,0.91151,2.68049,0.79305,0.00187397,0.00187397,0.00187397
21,297.642,1.12043,0.63599,0.90673,0.95065,0.92457,0.97114,0.6489,0.9807,1.89344,0.79602,0.00186733,0.00186733,0.00186733
22,310.429,1.12345,0.6383,0.89923,0.95026,0.93892,0.9764,0.67934,0.93201,1.72717,0.79711,0.0018607,0.0018607,0.0018607
23,323.073,1.10284,0.62606,0.90254,0.95514,0.94514,0.97698,0.68701,0.92314,2.3786,0.78981,0.00185407,0.00185407,0.00185407
24,335.775,1.09288,0.61959,0.89627,0.9701,0.92699,0.97884,0.69947,0.90769,1.1436,0.79665,0.00184743,0.00184743,0.00184743
25,348.439,1.11054,0.63171,0.90207,0.96987,0.9197,0.97714,0.70431,0.86821,1.47836,0.78288,0.0018408,0.0018408,0.0018408
26,361.097,1.0745,0.61431,0.90008,0.96215,0.92914,0.97623,0.70185,0.90352,1.37007,0.78818,0.00183417,0.00183417,0.00183417
