epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1185.21,0.62854,0.32772,0.82549,0.98254,0.96383,0.98981,0.85417,0.59148,0.33948,0.77296,0.008581,0.008581,0.008581
45,1211.41,0.62077,0.32443,0.82672,0.97754,0.97327,0.99206,0.85571,0.58878,0.45015,0.77281,0.008548,0.008548,0.008548
46,1237.79,0.61637,0.32126,0.82425,0.9856,0.97479,0.99187,0.85306,0.5936,0.57508,0.77663,0.008515,0.008515,0.008515
47,1263.75,0.61568,0.32029,0.82402,0.98455,0.97029,0.9918,0.85494,0.58789,0.55732,0.77508,0.008482,0.008482,0.008482
48,1290.05,0.612,0.31677,0.82255,0.98132,0.97473,0.99134,0.84869,0.59535,0.89356,0.77646,0.008449,0.008449,0.008449
49,1316.39,0.61137,0.31774,0.82245,0.98697,0.97303,0.99142,0.85707,0.58559,0.37708,0.77295,0.008416,0.008416,0.008416
50,1342.83,0.60536,0.31872,0.82261,0.98719,0.97241,0.99198,0.86315,0.56538,0.43189,0.76837,0.008383,0.008383,0.008383
51,1368.9,0.59931,0.3126,0.82177,0.98867,0.97716,0.99241,0.86505,0.5621,0.75462,0.76976,0.00835,0.00835,0.00835
52,1395.56,0.59227,0.30775,0.81735,0.9902,0.97193,0.99212,0.86916,0.56339,0.30091,0.77048,0.008317,0.008317,0.008317
53,1422.28,0.5927,0.30722,0.81806,0.98888,0.97349,0.99093,0.85946,0.56787,0.50555,0.76925,0.008284,0.008284,0.008284
54,1448.48,0.59475,0.30865,0.81935,0.98263,0.9686,0.99025,0.86298,0.56397,0.5531,0.76932,0.008251,0.008251,0.008251
55,1474.87,0.59108,0.30716,0.81704,0.98428,0.97431,0.99192,0.86523,0.5624,0.38951,0.76853,0.008218,0.008218,0.008218
56,1501.23,0.58227,0.30243,0.81809,0.98185,0.9824,0.99189,0.8662,0.55064,0.41341,0.76476,0.008185,0.008185,0.008185
57,1527.49,0.58712,0.30108,0.81946,0.98842,0.97764,0.99249,0.8705,0.55536,0.80763,0.7668,0.008152,0.008152,0.008152
58,1553.58,0.57465,0.29902,0.81401,0.98784,0.97098,0.99123,0.86763,0.55749,0.30789,0.76818,0.008119,0.008119,0.008119
59,1579.59,0.57824,0.29908,0.81547,0.98555,0.97361,0.99179,0.86678,0.55066,0.46088,0.76578,0.008086,0.008086,0.008086
60,1605.54,0.57478,0.29867,0.81312,0.98053,0.9822,0.99302,0.86988,0.55194,0.49556,0.76698,0.008053,0.008053,0.008053
61,1631.63,0.56633,0.29179,0.81303,0.98802,0.97431,0.99264,0.87071,0.54184,0.58538,0.76605,0.00802,0.00802,0.00802
62,1657.78,0.56565,0.29571,0.81379,0.98375,0.97944,0.99212,0.87213,0.54339,0.76496,0.76292,0.007987,0.007987,0.007987
63,1684.1,0.56868,0.29367,0.81537,0.98553,0.97174,0.99165,0.87148,0.54839,0.35897,0.76517,0.007954,0.007954,0.007954
64,1710.43,0.56389,0.29445,0.81321,0.98238,0.98148,0.99263,0.87667,0.53448,0.38726,0.76281,0.007921,0.007921,0.007921
65,1736.81,0.56484,0.29248,0.81298,0.98738,0.97669,0.99223,0.87156,0.54087,0.33747,0.766,0.007888,0.007888,0.007888
66,1762.75,0.55793,0.29116,0.8132,0.98391,0.98145,0.9925,0.8717,0.53754,0.29682,0.76611,0.007855,0.007855,0.007855
67,1789.32,0.55456,0.28856,0.80831,0.98286,0.98221,0.99188,0.87064,0.53731,0.63051,0.76334,0.007822,0.007822,0.007822
68,1815.65,0.55031,0.28955,0.81163,0.98377,0.98044,0.99234,0.88001,0.52904,0.29286,0.76206,0.007789,0.007789,0.007789
69,1841.95,0.54969,0.28564,0.80914,0.98612,0.98145,0.99158,0.8753,0.53279,0.32663,0.76356,0.007756,0.007756,0.007756
70,1868.19,0.54114,0.28396,0.80909,0.9847,0.9798,0.99233,0.88017,0.52097,0.611,0.7606,0.007723,0.007723,0.007723
71,1894.32,0.53587,0.28194,0.80762,0.98988,0.97812,0.99276,0.8795,0.52428,0.29308,0.76165,0.00769,0.00769,0.00769
72,1920.9,0.5331,0.28108,0.8054,0.98375,0.98049,0.992,0.88149,0.51853,0.46056,0.75936,0.007657,0.007657,0.007657
73,1947.33,0.53729,0.28163,0.80791,0.98797,0.97669,0.99213,0.88066,0.51341,0.34024,0.76092,0.007624,0.007624,0.007624
74,1973.7,0.53467,0.28123,0.80536,0.988,0.97904,0.99219,0.88358,0.51117,0.33742,0.76017,0.007591,0.007591,0.007591
75,2000.27,0.5314,0.28186,0.80713,0.9881,0.97812,0.99237,0.88103,0.51057,0.30585,0.75845,0.007558,0.007558,0.007558
76,2026.35,0.53215,0.27742,0.80771,0.98848,0.98005,0.99257,0.88226,0.51256,0.34579,0.76158,0.007525,0.007525,0.007525
77,2052.95,0.52773,0.27706,0.80553,0.98711,0.98049,0.99226,0.883,0.51122,0.27125,0.76022,0.007492,0.007492,0.007492
78,2079.71,0.52452,0.27671,0.80543,0.99113,0.97812,0.9927,0.88478,0.50882,0.30481,0.75864,0.007459,0.007459,0.007459
79,2106.04,0.52091,0.27704,0.80456,0.99225,0.97464,0.99277,0.88769,0.50512,0.28456,0.7559,0.007426,0.007426,0.007426
80,2132.43,0.51998,0.27183,0.80516,0.98848,0.97977,0.99288,0.88687,0.50479,0.33441,0.75835,0.007393,0.007393,0.007393
81,2158.67,0.51611,0.26951,0.80373,0.98988,0.97733,0.99288,0.88748,0.49764,0.26413,0.7568,0.00736,0.00736,0.00736
82,2185.01,0.51405,0.26985,0.80407,0.98243,0.98287,0.99271,0.88718,0.49929,0.52673,0.75603,0.007327,0.007327,0.007327
83,2211.43,0.51291,0.26902,0.80437,0.98945,0.98152,0.99236,0.8892,0.49364,0.41417,0.75579,0.007294,0.007294,0.007294
84,2237.73,0.50803,0.26647,0.80302,0.98532,0.9843,0.99284,0.8903,0.49177,0.34804,0.75426,0.007261,0.007261,0.007261
85,2264.13,0.5097,0.26774,0.80253,0.98755,0.98106,0.99316,0.8923,0.49099,0.33183,0.75802,0.007228,0.007228,0.007228
86,2290.36,0.50672,0.26718,0.80128,0.98848,0.97994,0.99247,0.8919,0.49199,0.31455,0.75624,0.007195,0.007195,0.007195
87,2316.51,0.50072,0.26442,0.80049,0.98755,0.98105,0.99315,0.88701,0.49093,0.26492,0.75603,0.007162,0.007162,0.007162
88,2342.72,0.49746,0.26822,0.80162,0.98832,0.9824,0.99323,0.8935,0.48603,0.29718,0.75649,0.007129,0.007129,0.007129
89,2368.99,0.49653,0.26273,0.80142,0.99393,0.97859,0.99279,0.89165,0.4853,0.39748,0.75425,0.007096,0.007096,0.007096
90,2395.41,0.49578,0.26348,0.79976,0.98426,0.98146,0.99297,0.89526,0.48279,0.52127,0.75401,0.007063,0.007063,0.007063
91,2421.5,0.49107,0.26136,0.79849,0.98653,0.9824,0.99262,0.8948,0.48069,0.37908,0.75429,0.00703,0.00703,0.00703
92,2447.72,0.48466,0.25829,0.80111,0.98713,0.97764,0.99292,0.89352,0.47326,0.44603,0.75439,0.006997,0.006997,0.006997
93,2473.82,0.48755,0.2588,0.79957,0.9871,0.98335,0.99258,0.89755,0.47454,0.41556,0.75278,0.006964,0.006964,0.006964
94,2500.19,0.48108,0.25764,0.7993,0.98725,0.98573,0.99258,0.89188,0.48125,0.29352,0.75597,0.006931,0.006931,0.006931
